款式代碼 (Style ID),產品編號 (SKU),產品名稱 (Name),系列 (Category),顏色名稱 (Color),色碼 (Hex),價格 (Price),適合臉型,適合膚色,產品推薦賣點,圖片檔名 (Image File)
5013,5013-1,經典方框 5013,經典系列,玳瑁,#4B3621,4800,"圓臉,鵝蛋臉","暖白皮,小麥色",經典方框結合溫潤玳瑁色，能修飾圓潤線條並為暖色調肌膚帶來好氣色。,5013-玳瑁.png
5013,5013-2,經典方框 5013,經典系列,透灰,#808080,4800,"圓臉,鵝蛋臉",冷白皮,透明感灰框減輕視覺重量，俐落修飾臉型，完美襯托冷色調肌膚。,5013-透灰.png
5013,5013-3,經典方框 5013,經典系列,黑,#222222,4800,"圓臉,鵝蛋臉","暖白皮,冷白皮,小麥色",極具存在感的經典黑粗框，百搭不挑膚色，瞬間提升個性立體感。,5013-黑.png
N401,N401-1,雕花圓框 N401,經典系列,玳瑁,#4B3621,5200,"方臉,心型臉","暖白皮,小麥色",復古圓框搭配精緻雕花，柔化臉部稜角，玳瑁色增添暖皮的優雅氣質。,N401-玳瑁.png
N401,N401-2,雕花圓框 N401,經典系列,藍琥珀,#003366,5200,"方臉,心型臉",冷白皮,獨特的藍琥珀色澤在光線下閃耀，圓框設計柔化方臉，極適合冷白皮。,N401-藍琥珀.png
N401,N401-3,雕花圓框 N401,經典系列,黑,#222222,5200,"方臉,心型臉","暖白皮,冷白皮,小麥色",黑色圓框結合金屬細節，對比鮮明且修飾稜角，不挑膚色的百搭單品。,N401-黑.png
23883,23883-1,羽毛鈦圓框 23883,羽毛鈦系列,玳瑁,#4B3621,5500,"方臉,心型臉","暖白皮,小麥色",極輕羽毛鈦金屬結合細緻玳瑁圓框，溫柔修飾方臉，為暖皮帶來好氣色。,23883-玳瑁.png
23883,23883-2,羽毛鈦圓框 23883,羽毛鈦系列,黑,#222222,5500,"方臉,心型臉","暖白皮,冷白皮,小麥色",經典黑色鈦金屬圓框，輕盈無負擔地柔化臉部線條，適合所有膚色。,23883-黑.png
5006,5006-1,Signature 羽毛鈦,羽毛鈦系列,抹茶,#556B2F,5000,"方臉,心型臉,鵝蛋臉","暖白皮,小麥色",獨特抹茶綠調的輕盈圓框，修飾有稜角的臉型，提亮暖色與橄欖色肌膚。,5006-抹茶.png
5006,5006-2,Signature 羽毛鈦,羽毛鈦系列,玳瑁,#4B3621,5000,"方臉,心型臉,鵝蛋臉","暖白皮,小麥色",經典玳瑁色羽毛鈦圓框，復古百搭且修飾臉型，適合暖色調肌膚配戴。,5006-玳瑁.png
5006,5006-3,Signature 羽毛鈦,羽毛鈦系列,黑,#222222,5000,"方臉,心型臉,鵝蛋臉","暖白皮,冷白皮,小麥色",極簡的黑色羽毛鈦圓框，輕盈修飾下巴線條，任何膚色皆能輕鬆駕馭。,5006-黑.png
